key,value
RTD,Delayed message message type designator
RTE,Route
RTF,Radiotelephone
RTG,Radiotelegraph
RTHL,Runway threshold light
RTN,Return or returned or returning
RTODAH,Rejected takeoff distance available helicopter
RTS,Return to service
RTT,Radioteletypewriter
RTZL,Runway touchdown zone light
RUT,Standard regional route transmitting frequencies
RV,Rescue vessel
RVA,Radar vectoring area
RVR,Runway visual range
RVSM,Reduced vertical separation minimum
RVSM,Reduced vertical separation minimum between FL and FL
RWY,Runway
RYT*,Refer your telegram
S,State of the sea
S,South or southern latitude
SA,Sand
SALS,Simple approach lighting system
SAN,Sanitary
SAP*,As soon as possible
SAR,Search and rescue
SAT,Saturday
SATCOM,Satellite communication
SATCOM,Satellite communication generally to both voice and data satellite
SATCOM,Satellite communication generally to both voice and data satellite communication or only data satellite communication
SATVOICE,Satellite voice communication
SB,Southbound
SBAS,Satellitebased augmentation system
SBAS,Satellitebased augmentation system pronouncedESSBAS
SC,Stratocumulus
SCT,Scattered
SD,Standard deviation
SDBY,Stand by
SDF,Step down fix
SE,Southeast
SEA,Sea
SEA,Sea and state of the sea
SEB,Southeastbound
SEC,Seconds
SECN,Section
SECT,Sector
SELCAL,Selectivc calling system
SEP,September
SER,Service or servicing or served
SEV,Severe
SFC,Surface
SFL*,Sequenced flashing lights
SG,Snow grains
SGL,Signal
SH,Showers PL
GR,pellets GRhail GSsmall hail andor snow pellets GS
GR,pellets GRhail GSsmall hail andor snow pellets GS or combinations thereof eg SHRASNshowers of
SHRASN,rain and snow
SHF,Super high frequency
SI,International system of units
SID,Standard instrument departure
SIF,Selective identification feature
SIG,Significant
SIGMET,Information concerning enroute weather and other
SIGMET,Information concerning enroute weather and other phenomena in the atmosphere that may affect the
SIGMET,Information concerning enroute weather and other phenomena in the atmosphere that may affect the safety of aircraft operations
SIMUL,Simultaneous or simultaneously
SIWL,Single isolated wheel load
SKC*,Sky clear
SKED,Schedule or scheduled
SLP,Speed limiting point
SLW,Slow
SMC,Surface movement control
SMR,Surface movement radar
SN,Snow
SNOCLO,Aerodrome closed due to snow
SNOWTAM,Special series NOTAM notifying the presence or
SNOWTAM,Special series NOTAM notifying the presence or removal of hazardous conditions due to snow ice
SNOWTAM,Special series NOTAM notifying the presence or removal of hazardous conditions due to snow ice slush or standing water associated with snow slush
SNOWTAM,Special series NOTAM notifying the presence or removal of hazardous conditions due to snow ice slush or standing water associated with snow slush and ice on the movement area by means of a specific
SNOWTAM,Special series NOTAM notifying the presence or removal of hazardous conditions due to snow ice slush or standing water associated with snow slush and ice on the movement area by means of a specific format
SOC,Start of climb
SPECI,Aerodrome special meteorological report
SPECI,Aerodrome special meteorological report meteorological code
SPECIAL,Local special meteorological report
SPECIAL,Local special meteorological report plain language
SPI,Special position indicator
SPL,Supplementary flight plan
SPOC,SAR point of contact
SPOT,Spot wind
SQ,Squall
SQL,Squall line
SR,Sunrise
SRA,Surveillance radar approach
SRE,Surveillance radar element of precision approach
SRE,Surveillance radar element of precision approach radar system
SRG,Short range
SRR,Search and rescue region
SRY,Secondary
SS,Sandstorm
SS,Sunset
SSB,Single sideband
SSE,Southsoutheast
SSR,Secondary surveillance radar
SST,Supersonic transport
SSW,Southsouthwest
ST,Stratus
STA,Straightin approach
STAR,Standard instrument arrival
STD,Standard
STF,Stratiform
STN,Station
STNR,Stationary
STOL,Short takeoff and landing
STS,Status
STWL,Stopway light
SUBJ,Subject to
SUN,Sunday
SUP,Supplement
SUPPS,Regional supplementary procedures
SVC,Service
SVCBL,Serviceable
SW,Southwest
SWB,Southwestbound
SWX,Space weather
SWXC,Space weather centre
SWY,Stopway
T,Temperature
T,TRUE
T,True True North
TA,Traffic advisory
TA,Transition altitude
TAA,Terminal arrival altitude
TACAN,UHF tactical air navigation aid
TAF,Aerodrome forecast
TAH,Turn at an altitudeheight
TAIL,Tail wind
TAR,Terminal area surveillance radar
TAS,True airspeed
TAX,Taxiing or taxi
TC,Tropical cyclone
TCAC,Tropical cyclone advisory centre
TCAS,RA Traffic alert and collision avoidance system resolution
TCAS,RA Traffic alert and collision avoidance system resolution advisory â€œTEECASARAYâ€?
TCH,Threshold crossing height
TCU,Towering cumulus
TDO,Tornado
TDZ,Touchdown zone
TECR,Technical reason
TEL,Telephone
TEMPO,Temporary or temporarily
TF,Track to fix
TFC,Traffic
TGL,Touchandgo landing
TGS,Taxiing guidance system
TH*,Transition height
THR,Threshold
THRU,Through
THU,Thursday
TIBA,Traffic information broadcast by aircraft
TIL,Until
TIP,Until past
TKOF,Takeoff
TL,Till
TL,Till forecast to end
TL*,Transition level
TLOF,Touchdown and liftoff area
TMA,Terminal control area
TN,Minimum temperature
TNA,Turn altitude
TNH,Turn height
TO,To
TOC,Top of climb
TODA,Takeoff distance available
TODAH,Takeoff distance available helicopter
TOP,Cloud top
TORA,Takeoff run available
TOX,Toxic
TP,Turning point
TR,Track
TRA,Temporary reserved airspace
TRANS,Transmits or transmitter
TREND,Trend forecast
TRG,Training
TRL,Transition level
TROP,Tropopause
TS,Thunderstorm PL
GR,PLice pellets GRhail GSsmall hail andor snow GS
GR,PLice pellets GRhail GSsmall hail andor snow GS pellets or combinations thereof eg TSRASN
TSRASN,Thunderstorm with rain and snow
TS,Thunderstorm
TS,Thunderstorm used alone means thunder heard but no precipitation
TS,Thunderstorm used alone means thunder heard but no precipitation at the aerodrome
TSUNAMI,Tsunami
TT,Teletypewriter
TUE,Tuesday
TURB,Turbulence
TURB*,Turbine
TVASIS,T visual approach slope indicator system
TVASIS,T visual approach slope indicator system pronounced TEEVASIS
TVOR,Terminal VOR
TWR,Aerodrome control tower or aerodrome control
TWY,Taxiway
TWYL*,Taxiwaylink
TX,Maximum temperature
TX*,Indicator for maximum temperature
TX*,Indicator for maximum temperature code form
TXL,Taxilane
TXT,Text
TXT,Text repetition the question mark precedes the
IMI,TXT
IMI,TXT abbreviation eg IMI TXT
IMI,TXT abbreviation eg IMI TXT procedure signal
TYP,Type of aircraft
TYPH,Typhoon
U,Upward
U,Upward minutes
UA,Unmanned aircraft
UAB,Until advised by
UAC,Upper area control centre
UAR,Upper air route
UAS,Unmanned aircraft system
UDF,Ultra high frequency directionfinding station
UFN,Until further notice
UHDT,Unable higher due traffic
UHF,Ultra high frequency
UIC,Upper information center
UIR,Upper flight information region
ULM,Ultra light motorized aircraft
ULR,Ultra long range
UNA,Unable
UNAP,Unable to approve
UNL,Unlimited
UNREL,Unreliable
UP,Unidentified precipitation
US,Unserviceable
UTA,Upper control area
UTC,Coordinated Universal Time
V,Variations from the mean wind direction
V,Variations from the mean wind direction and followed by in METARSPECI eg V
VA,Volcanic ash
VA,Heading to an altitude
VAAC,Volcanic ash advisory centre
VAC,Visual approach chart
VAL,In valleys
VAN,Runway control van
VAR,Visualaural radio range
VAR,Magnetic variation
VASIS,Visual approach slope indicator systems
VC,Vicinity of the aerodrome
FC,FCfunnel cloud SHshowers POdustsand whirls PO
BLSN,BLDUblowing dust BLSAblowing sand
BLSN,BLDUblowing dust BLSAblowing sand BLSNblowing snow DSduststorm SSsandstorm
BLSN,BLDUblowing dust BLSAblowing sand BLSNblowing snow DSduststorm SSsandstorm TSthunderstorm or VAvolcanic ash eg
BLSN,BLDUblowing dust BLSAblowing sand BLSNblowing snow DSduststorm SSsandstorm TSthunderstorm or VAvolcanic ash eg VCFGvicinity fog
VCY,Vicinity
VDF,Very high frequency directionfinding station
VER,Vertical
VFR,Visual flight rules
VHF,Very high frequency
VI,Heading to an intercept
VIP,Very important person
VIS,Visibility
VLF,Very low frequency
VLR,Very long range
VM,Heading to a manual termination
VMC,Visual meteorological conditions
VNAV,Vertical navigation
VOL,Volume
VOLMET,Meteorological information for aircraft in flight
VOR,VHF omnidirectional radio range
VORTAC,VOR and TACAN combination
VOT,VOR airborne equipment test facility
VPA,Vertical path angle
VPT,Visual manoeuvre with prescribed track
VRB,Variable
VSA,By visual reference to the ground
VSP,Vertical speed
VTF,Vector to final
VTOL,Vertical takeoff and landing
VV,Vertical visibility
METARSPECI,and TAF
W,White
W,West or western longitude
W,Seasurface temperature
WAAS,Wide area augmentation system
WAFC,World area forecast centre
WB,Westbound
WBAR,Wing bar lights
WDI,Wind direction indicator
WDSPR,Widespread
WED,Wednesday
WEF,With effect from or effective from
WGS,World Geodetic Systemâ€?â€?
WI,Within
WID,Width or wide
WIE,With immediate effect or effective immediately
WILCO,Will comply
WIND,Wind
WINTEM*,Forecast upper wind and temperature for aviation
WIP,Work in progress
WKN,Weaken or weakening
WNW,Westnorthwest
WO,Without
WPT,Waypoint
WRNG,Warning
WS,Wind shear
WSPD,Wind speed
WSW,Westsouthwest
WT,Weight
WTSPT,Waterspout
WWW,Worldwide web
WX,Weather
WXR,Weather radar
X,Cross
XBAR,Crossbar
XNG,Crossing
XS,Atmospherics
Y,Yellow
YCZ,Yellow caution zone
YES,Yes
YES,Yes signal
YR,Your
Z,Coordinated Universal Time
Z,Coordinated Universal Time messages
